PositionsExploration:;NumX=;25;NumY=;7;MaxX=;15300;MaxY=;13300
POSX;POSY;POSZ;POSA;V10;V20;V13;V23
0;0;1750;125;515;402;409;512
637;0;1750;125;509;404;399;507
1274;0;1750;125;508;405;395;505
1911;0;1750;125;509;406;393;504
2548;0;1750;125;508;407;392;504
3185;0;1750;125;508;407;392;503
3822;0;1750;125;509;408;392;503
4459;0;1750;125;509;408;392;503
5096;0;1750;125;509;408;392;504
5733;0;1750;125;509;408;392;504
6370;0;1750;125;509;409;392;504
7007;0;1750;125;509;409;392;504
7644;0;1750;125;509;409;392;504
8281;0;1750;125;509;409;392;505
8918;0;1750;125;510;409;392;504
9555;0;1750;125;510;409;392;505
10192;0;1750;125;510;409;393;505
10829;0;1750;125;510;410;392;505
11466;0;1750;125;510;410;393;505
12103;0;1750;125;511;410;393;505
12740;0;1750;125;511;410;392;505
13377;0;1750;125;511;410;392;505
14014;0;1750;125;512;410;391;505
14651;0;1750;125;513;411;390;504
15288;0;1750;125;516;412;387;503
0;2216;1750;125;511;405;404;513
637;2216;1750;125;509;407;399;509
1274;2216;1750;125;509;408;396;507
1911;2216;1750;125;510;409;395;506
2548;2216;1750;125;510;409;394;505
3185;2216;1750;125;510;410;393;505
3822;2216;1750;125;511;410;392;504
4459;2216;1750;125;511;410;392;504
5096;2216;1750;125;512;410;392;505
5733;2216;1750;125;512;409;392;505
6370;2216;1750;125;512;409;392;506
7007;2216;1750;125;511;409;393;506
7644;2216;1750;125;511;409;393;506
8281;2216;1750;125;511;409;393;506
8918;2216;1750;125;511;409;393;505
9555;2216;1750;125;511;409;393;506
10192;2216;1750;125;511;409;393;506
10829;2216;1750;125;511;409;394;506
11466;2216;1750;125;510;409;394;506
12103;2216;1750;125;510;409;395;506
12740;2216;1750;125;510;410;394;506
13377;2216;1750;125;511;410;393;505
14014;2216;1750;125;511;410;392;504
14651;2216;1750;125;513;411;391;504
15288;2216;1750;125;515;412;388;502
0;4432;1750;125;511;405;405;513
637;4432;1750;125;509;407;399;509
1274;4432;1750;125;510;408;396;506
1911;4432;1750;125;511;409;394;505
2548;4432;1750;125;513;411;390;503
0;6648;1750;125;509;405;401;512
637;6648;1750;125;509;407;397;508
1274;6648;1750;125;511;409;393;505
0;8864;1750;125;508;405;401;512
637;8864;1750;125;508;407;397;508
1274;8864;1750;125;510;409;394;506
0;11080;1750;125;508;405;401;512
637;11080;1750;125;508;406;397;509
1274;11080;1750;125;509;408;395;507
1911;11080;1750;125;510;409;394;506
2548;11080;1750;125;510;410;393;505
3185;11080;1750;125;511;410;392;504
3822;11080;1750;125;513;411;390;504
4459;11080;1750;125;514;411;389;503
5096;11080;1750;125;515;411;388;504
5733;11080;1750;125;514;409;389;505
6370;11080;1750;125;514;408;389;507
7007;11080;1750;125;513;407;391;508
7644;11080;1750;125;513;408;392;508
8281;11080;1750;125;513;408;391;507
8918;11080;1750;125;513;408;391;507
9555;11080;1750;125;513;407;391;508
10192;11080;1750;125;512;407;393;509
10829;11080;1750;125;510;407;395;510
11466;11080;1750;125;510;407;396;509
12103;11080;1750;125;510;408;396;508
12740;11080;1750;125;511;409;396;507
13377;11080;1750;125;511;410;394;506
14014;11080;1750;125;512;410;393;505
14651;11080;1750;125;514;411;392;504
15288;11080;1750;125;516;413;389;503
0;13296;1750;125;512;406;404;513
637;13296;1750;125;510;407;398;510
1274;13296;1750;125;510;408;396;507
1911;13296;1750;125;510;408;395;506
2548;13296;1750;125;510;409;394;506
3185;13296;1750;125;510;409;394;506
3822;13296;1750;125;510;409;394;505
4459;13296;1750;125;510;409;394;506
5096;13296;1750;125;511;409;393;505
5733;13296;1750;125;511;409;394;506
6370;13296;1750;125;510;409;394;506
7007;13296;1750;125;511;409;394;506
7644;13296;1750;125;511;410;394;506
8281;13296;1750;125;511;410;394;506
8918;13296;1750;125;511;410;394;506
9555;13296;1750;125;511;410;394;506
10192;13296;1750;125;511;410;394;506
10829;13296;1750;125;511;409;394;506
11466;13296;1750;125;511;410;394;506
12103;13296;1750;125;511;410;394;506
12740;13296;1750;125;512;410;394;506
13377;13296;1750;125;512;410;393;505
14014;13296;1750;125;512;411;392;505
14651;13296;1750;125;514;411;391;505
15288;13296;1750;125;516;412;388;503
